dataset	dataset_display	collector_dataset_identity	dataset_sub_sampling	model	model_display	stratification	stratification_hash	stratification_display	completed_case_count	expected_effective_case_count	coverage_fraction	coverage_status	summed_rejected_prediction_events	summed_truth_positive_events	value	metric	metric_display	aggregation
FR-FCM-Z3YR	FR-FCM-Z3YR	dataset_name-FR-FCM-Z3YR_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	not_applicable	cyanno	CyAnno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	Unfiltered	5	5	1	complete	0	81644231	0	model_rejection_event_rate	Model-rejection event rate	sum(n_pred_zero_on_truth_positive) / sum(n_truth_positive) across accepted effective folds
FR-FCM-ZY34	FR-FCM-ZY34	dataset_name-FR-FCM-ZY34_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-150	not_applicable	cyanno	CyAnno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	Unfiltered	5	5	1	complete	0	34456959	0	model_rejection_event_rate	Model-rejection event rate	sum(n_pred_zero_on_truth_positive) / sum(n_truth_positive) across accepted effective folds
FR-FCM-ZYVT	FR-FCM-ZYVT	dataset_name-FR-FCM-ZYVT_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-150	not_applicable	cyanno	CyAnno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	Unfiltered	5	5	1	complete	0	18152310	0	model_rejection_event_rate	Model-rejection event rate	sum(n_pred_zero_on_truth_positive) / sum(n_truth_positive) across accepted effective folds
FlowCyt	FlowCyt	dataset_name-FlowCyt_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-150	not_applicable	cyanno	CyAnno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	Unfiltered	5	5	1	complete	0	10093411	0	model_rejection_event_rate	Model-rejection event rate	sum(n_pred_zero_on_truth_positive) / sum(n_truth_positive) across accepted effective folds
Levine	Levine	dataset_name-Levine_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	not_applicable	cyanno	CyAnno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	Unfiltered	2	2	1	complete	0	104184	0	model_rejection_event_rate	Model-rejection event rate	sum(n_pred_zero_on_truth_positive) / sum(n_truth_positive) across accepted effective folds
Samusik	Samusik	dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	not_applicable	cyanno	CyAnno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	Unfiltered	5	5	1	complete	0	2315918	0	model_rejection_event_rate	Model-rejection event rate	sum(n_pred_zero_on_truth_positive) / sum(n_truth_positive) across accepted effective folds
15723074	15723074	dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	not_applicable	cygate	CyGATE	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	Unfiltered	5	5	1	complete	81775	3085225	0.026505360224943077	model_rejection_event_rate	Model-rejection event rate	sum(n_pred_zero_on_truth_positive) / sum(n_truth_positive) across accepted effective folds
BodenmillerXL	BodenmillerXL	dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	not_applicable	cygate	CyGATE	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	Unfiltered	5	5	1	complete	93692	815010	0.1149580986736359	model_rejection_event_rate	Model-rejection event rate	sum(n_pred_zero_on_truth_positive) / sum(n_truth_positive) across accepted effective folds
FR-FCM-Z238	FR-FCM-Z238	dataset_name-FR-FCM-Z238_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	not_applicable	cygate	CyGATE	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	Unfiltered	5	5	1	complete	260120	11931899	0.021800385672054383	model_rejection_event_rate	Model-rejection event rate	sum(n_pred_zero_on_truth_positive) / sum(n_truth_positive) across accepted effective folds
FR-FCM-Z2KP-covid	FR-FCM-Z2KP-covid	dataset_name-FR-FCM-Z2KP-covid_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-150	not_applicable	cygate	CyGATE	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	Unfiltered	5	5	1	complete	655483	17117121	0.0382939981554141	model_rejection_event_rate	Model-rejection event rate	sum(n_pred_zero_on_truth_positive) / sum(n_truth_positive) across accepted effective folds
