dataset	model	population_id	population_name	population	median_f1	mean_f1	median_precision	median_recall	median_support	n_runs
dataset_name-BodenmillerXL_seed-42	gatemeclass[V]	7	monocytes	monocytes	0.4746229809385287	0.41994162378558597	0.3954186883189755	0.6488343414175818	17026	5
dataset_name-BodenmillerXL_seed-42	knn	1	B-cells IgM+	B-cells IgM+	0.904364725888736	0.9025373182993233	0.9274206942368377	0.8824273072060683	6310	5
dataset_name-BodenmillerXL_seed-42	knn	2	B-cells IgM-	B-cells IgM-	0.6701722098067568	0.6794861080210952	0.5705315093070195	0.8458622867972204	3062	5
dataset_name-BodenmillerXL_seed-42	knn	3	CD4 T-cells	CD4 T-cells	0.9343775224552184	0.931698586774463	0.9643134773569556	0.914955659616803	59222	5
dataset_name-BodenmillerXL_seed-42	knn	4	CD8 T-cells	CD8 T-cells	0.8288842534293321	0.8222684855279487	0.8747711554109032	0.7872845365975518	48825	5
dataset_name-BodenmillerXL_seed-42	knn	5	DC	DC	0.6914125200642055	0.670118104824601	0.5384375	0.971164309031556	1851	5
dataset_name-BodenmillerXL_seed-42	knn	6	NK cells	NK cells	0.8539906291297905	0.8549996108987543	0.7917796012326885	0.9268112477726107	23095	5
dataset_name-BodenmillerXL_seed-42	knn	7	monocytes	monocytes	0.7922534116696198	0.7886816576019167	0.7900056465273857	0.8098202748737225	17026	5
dataset_name-BodenmillerXL_seed-42	lda	1	B-cells IgM+	B-cells IgM+	0.9194265941670786	0.9205378930031559	0.9517877366121986	0.9119137113907502	6310	5
dataset_name-BodenmillerXL_seed-42	lda	2	B-cells IgM-	B-cells IgM-	0.7526283240568955	0.7277011858238895	0.7371290127195639	0.7788298951640176	3062	5
dataset_name-BodenmillerXL_seed-42	lda	3	CD4 T-cells	CD4 T-cells	0.9280615707058127	0.9249670182699156	0.9734418346587757	0.8998867270788913	59222	5
dataset_name-BodenmillerXL_seed-42	lda	4	CD8 T-cells	CD8 T-cells	0.8467179236478378	0.8428613854220964	0.8988554697897259	0.7932384045299359	48825	5
dataset_name-BodenmillerXL_seed-42	lda	5	DC	DC	0.8280195485222248	0.8161478855453186	0.7421777221526908	0.9345844504021448	1851	5
dataset_name-BodenmillerXL_seed-42	lda	6	NK cells	NK cells	0.8393077012428855	0.8379175479466288	0.8953211736716892	0.789890244435699	23095	5
dataset_name-BodenmillerXL_seed-42	lda	7	monocytes	monocytes	0.8040357004268529	0.805701996240302	0.8945171967189524	0.7301773757782215	17026	5
dataset_name-BodenmillerXL_seed-42	random	1	B-cells IgM+	B-cells IgM+	0.06010191846522782	0.05924387613732662	0.0393909626719057	0.12395521211165432	6310	5
dataset_name-BodenmillerXL_seed-42	random	2	B-cells IgM-	B-cells IgM-	0.03350276243093923	0.033731941871412346	0.01926988000813504	0.12817044301657085	3062	5
dataset_name-BodenmillerXL_seed-42	random	3	CD4 T-cells	CD4 T-cells	0.1871617178410643	0.18715044919119575	0.37495662519208844	0.1248167643923241	59222	5
dataset_name-BodenmillerXL_seed-42	random	4	CD8 T-cells	CD8 T-cells	0.17681638519583184	0.17676452527994696	0.3040990021522207	0.12450434573637201	48825	5
dataset_name-BodenmillerXL_seed-42	random	5	DC	DC	0.020503347956592012	0.020493513791854368	0.011202502901549175	0.12078346028291621	1851	5
dataset_name-BodenmillerXL_seed-42	random	6	NK cells	NK cells	0.13605220228384993	0.13616307398901853	0.14574214086748905	0.1267373890452479	23095	5
dataset_name-BodenmillerXL_seed-42	random	7	monocytes	monocytes	0.11717882767023148	0.11573314360590921	0.10875585317959821	0.12701861530330613	17026	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	1	B Cell (CD27-)	B Cell (CD27-)	0.9835284017480809	0.9839513620806161	0.9923578959111954	0.9763119367833338	110209	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	10	CD4+ T Cell (Treg)	CD4+ T Cell (Treg)	0.7419926888076536	0.7184156981303816	0.864464005788014	0.6611599232132309	53998	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	11	CD4- CD8- T Cell	CD4- CD8- T Cell	0.9314518739076962	0.8488295784918846	0.9197420467321842	0.9599790835684405	165094	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	12	CD8+ T Cell (Central Memory)	CD8+ T Cell (Central Memory)	0.728377720603574	0.6676880636698763	0.6923099859856278	0.7941850521635027	28946	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	13	CD8+ T Cell (EMRA)	CD8+ T Cell (EMRA)	0.8200058976627306	0.739285023045509	0.858634947911073	0.7809049684542587	40513	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	14	CD8+ T Cell (Effector Memory)	CD8+ T Cell (Effector Memory)	0.6321351959399362	0.5876353264741215	0.5606309880963902	0.6982607523257381	7420	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	15	CD8+ T Cell (Naive)	CD8+ T Cell (Naive)	0.9222907415564472	0.8080891724336792	0.9668125570704367	0.8877202315213684	172943	5
dataset_name-FR-FCM-Z238_seed-42	cyanno	16	Dendritic Cell (Type 1, CD141+)	Dendritic Cell (Type 1, CD141+)	0.4163586717675779	0.41750327338738513	0.6246135705176032	0.2485294117647059	7463	5
