dataset	model	stratification	stratification_hash	crossvalidation	run_id	population_id	population_name	population	f1	precision	recall	specificity	balanced_accuracy_ovr	accuracy	support	nominal_train_count	training_support	present_in_training	test_truth_count	eligible_test_count	test_support_fraction	rare_bucket	n_cells	source_path	tp	fp	fn	tn
dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	gatemeclass[E]	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-3	run0	9	GMP	GMP	0.8872661634394485	0.8047328471498735	0.9886633753885536	0.9971105713008376	0.9928869733446957	0.9886633753885536	5469	599	599	TRUE	5469	459538	0.011901083261884762	1-5%	459538	/home/kaae2/code/ob/out/data/data_import/.fe139bd2b0b2fe746a967b5e84349dcf6ec63f6551d8e2ad527f4465f20828e9/preprocessing/data_preprocessing/.28dab93995bf2424486e82ef245de31c7784f6da4af1a37e554573f330b22eed/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	5407	1312	62	452757
dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	gatemeclass[E]	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-3	run0	9	GMP	GMP	0.8652606446478314	0.766065388951522	0.9939659901261657	0.9963441679568523	0.995155079041509	0.9939659901261657	5469	599	599	TRUE	5469	459538	0.011901083261884762	1-5%	459538	/home/kaae2/code/ob/out/data/data_import/.fe139bd2b0b2fe746a967b5e84349dcf6ec63f6551d8e2ad527f4465f20828e9/preprocessing/data_preprocessing/.28dab93995bf2424486e82ef245de31c7784f6da4af1a37e554573f330b22eed/stratify/data_stratify/.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	5436	1660	33	452409
dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	gatemeclass[E]	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-3	run0	10	HSC	HSC	0	0	0	1	0.5	0	28	1	1	TRUE	28	459538	6.0930760894637656e-5	<1%	459538	/home/kaae2/code/ob/out/data/data_import/.fe139bd2b0b2fe746a967b5e84349dcf6ec63f6551d8e2ad527f4465f20828e9/preprocessing/data_preprocessing/.28dab93995bf2424486e82ef245de31c7784f6da4af1a37e554573f330b22eed/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	0	0	28	459510
dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	gatemeclass[E]	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-3	run0	10	HSC	HSC	0	0	0	1	0.5	0	28	1	1	TRUE	28	459538	6.0930760894637656e-5	<1%	459538	/home/kaae2/code/ob/out/data/data_import/.fe139bd2b0b2fe746a967b5e84349dcf6ec63f6551d8e2ad527f4465f20828e9/preprocessing/data_preprocessing/.28dab93995bf2424486e82ef245de31c7784f6da4af1a37e554573f330b22eed/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	0	0	28	459510
dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	gatemeclass[E]	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-3	run0	10	HSC	HSC	0	0	0	1	0.5	0	28	1	1	TRUE	28	459538	6.0930760894637656e-5	<1%	459538	/home/kaae2/code/ob/out/data/data_import/.fe139bd2b0b2fe746a967b5e84349dcf6ec63f6551d8e2ad527f4465f20828e9/preprocessing/data_preprocessing/.28dab93995bf2424486e82ef245de31c7784f6da4af1a37e554573f330b22eed/stratify/data_stratify/.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	0	0	28	459510
dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	gatemeclass[E]	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-3	run0	11	IgD- IgMpos B cells	IgD- IgMpos B cells	0.7767267582014464	0.95910311579901	0.6526276391977279	0.9969477225035437	0.8247876808506358	0.6526276391977279	45421	4296	4296	TRUE	45421	459538	0.09884057466411918	5-20%	459538	/home/kaae2/code/ob/out/data/data_import/.fe139bd2b0b2fe746a967b5e84349dcf6ec63f6551d8e2ad527f4465f20828e9/preprocessing/data_preprocessing/.28dab93995bf2424486e82ef245de31c7784f6da4af1a37e554573f330b22eed/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	29643	1264	15778	412853
dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	gatemeclass[E]	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-3	run0	11	IgD- IgMpos B cells	IgD- IgMpos B cells	0.8438800844892969	0.9612505628095452	0.7520530151251623	0.9966748527590029	0.8743639339420826	0.7520530151251623	45421	4296	4296	TRUE	45421	459538	0.09884057466411918	5-20%	459538	/home/kaae2/code/ob/out/data/data_import/.fe139bd2b0b2fe746a967b5e84349dcf6ec63f6551d8e2ad527f4465f20828e9/preprocessing/data_preprocessing/.28dab93995bf2424486e82ef245de31c7784f6da4af1a37e554573f330b22eed/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	34159	1377	11262	412740
dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	gatemeclass[E]	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-3	run0	11	IgD- IgMpos B cells	IgD- IgMpos B cells	0.7767267582014464	0.95910311579901	0.6526276391977279	0.9969477225035437	0.8247876808506358	0.6526276391977279	45421	4296	4296	TRUE	45421	459538	0.09884057466411918	5-20%	459538	/home/kaae2/code/ob/out/data/data_import/.fe139bd2b0b2fe746a967b5e84349dcf6ec63f6551d8e2ad527f4465f20828e9/preprocessing/data_preprocessing/.28dab93995bf2424486e82ef245de31c7784f6da4af1a37e554573f330b22eed/stratify/data_stratify/.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	29643	1264	15778	412853
dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	gatemeclass[E]	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-3	run0	12	IgDpos IgMpos B cells	IgDpos IgMpos B cells	0.9861663899283785	0.977402684168124	0.9950886739419643	0.993603381864197	0.9943460279030807	0.9950886739419643	99973	14439	14439	TRUE	99973	459538	0.21755110567570038	>20%	459538	/home/kaae2/code/ob/out/data/data_import/.fe139bd2b0b2fe746a967b5e84349dcf6ec63f6551d8e2ad527f4465f20828e9/preprocessing/data_preprocessing/.28dab93995bf2424486e82ef245de31c7784f6da4af1a37e554573f330b22eed/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	99482	2300	491	357265
dataset_name-Samusik_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	gatemeclass[E]	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-3	run0	12	IgDpos IgMpos B cells	IgDpos IgMpos B cells	0.9837028408978739	0.9709272303900077	0.9968191411681154	0.9917010832533756	0.9942601122107455	0.9968191411681154	99973	14439	14439	TRUE	99973	459538	0.21755110567570038	>20%	459538	/home/kaae2/code/ob/out/data/data_import/.fe139bd2b0b2fe746a967b5e84349dcf6ec63f6551d8e2ad527f4465f20828e9/preprocessing/data_preprocessing/.28dab93995bf2424486e82ef245de31c7784f6da4af1a37e554573f330b22eed/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/gatemeclass/.403b8ea3088fca937abc4d8eb5fbf6be4032d3e90324321d6c3e85108482f780/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	99655	2984	318	356581
