dataset	model	crossvalidation	n_cells	f1_macro_median	f1_weighted_median	runtime_seconds
dataset_name-FR-FCM-Z238_seed-42	dgcytof	num-2	2351561	0.7505043958263143	0.8447979719811516	NA
dataset_name-FR-FCM-Z238_seed-42	dgcytof	num-3	2403060	0.7529029461443867	0.7601778581568985	NA
dataset_name-FR-FCM-Z238_seed-42	dgcytof	num-4	2390998	0.749482586570368	0.7741415016777067	NA
dataset_name-FR-FCM-Z238_seed-42	dgcytof	num-5	2385788	0.7384685903553626	0.8500899291768852	NA
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	num-1	2400492	NA	0	NA
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	num-2	2351561	NA	0	NA
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	num-3	2403060	NA	0	NA
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	num-4	2390998	NA	0	NA
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	num-5	2385788	NA	0	NA
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[V]	num-1	2400492	NA	0	NA
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[V]	num-2	2351561	NA	0	NA
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[V]	num-3	2403060	NA	0	NA
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[V]	num-4	2390998	NA	0	NA
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[V]	num-5	2385788	NA	0	NA
dataset_name-FR-FCM-Z238_seed-42	knn	num-1	2400492	0.6835761866022693	0.754007841575592	NA
dataset_name-FR-FCM-Z238_seed-42	knn	num-2	2351561	0.6569476433454133	0.7751516992616082	NA
dataset_name-FR-FCM-Z238_seed-42	knn	num-3	2403060	0.7246796875518731	0.7504707183896276	NA
dataset_name-FR-FCM-Z238_seed-42	knn	num-4	2390998	0.7120532965082849	0.7618076964889351	NA
dataset_name-FR-FCM-Z238_seed-42	knn	num-5	2385788	0.6938150563822919	0.7924881297245419	NA
dataset_name-FR-FCM-Z238_seed-42	lda	num-1	2400492	0.7232860003612674	0.7920217589883655	NA
