dataset	model	stratification	crossvalidation	run_id	population_id	population_name	population	tp	fp	fn	tn	tpr	fpr	fnr	tnr
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-1	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	1502	5970	1283	578499	0.5393177737881508	0.010214399737197354	0.4606822262118492	0.9897856002628026
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	1502	5970	1283	578499	0.5393177737881508	0.010214399737197354	0.4606822262118492	0.9897856002628026
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-1	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	1502	5970	1283	578499	0.5393177737881508	0.010214399737197354	0.4606822262118492	0.9897856002628026
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-1	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	26901	1468	12760	546125	0.67827336678349	0.0026808231661105968	0.3217266332165099	0.9973191768338894
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-1	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	26901	1468	12760	546125	0.67827336678349	0.0026808231661105968	0.3217266332165099	0.9973191768338894
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-1	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	26901	1468	12760	546125	0.67827336678349	0.0026808231661105968	0.3217266332165099	0.9973191768338894
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-2	run0	1	B cells	B cells	110559	0	54	530296	0.9995118114507336	0	4.881885492663611e-4	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-2	run0	1	B cells	B cells	110559	0	54	530296	0.9995118114507336	0	4.881885492663611e-4	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-2	run0	1	B cells	B cells	110559	0	54	530296	0.9995118114507336	0	4.881885492663611e-4	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-2	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	109932	2	4534	526441	0.9603899847989796	3.7990817619381394e-6	0.03961001520102039	0.999996200918238
